ville,annee,mois,t_max,t_min,amplitude
Atakpamé,2013,1,34.0,23.0,11.0
Atakpamé,2013,2,36.0,23.0,13.0
Atakpamé,2013,3,34.0,23.0,11.0
Atakpamé,2013,4,32.0,22.0,10.0
Atakpamé,2013,5,31.0,22.0,9.0
Atakpamé,2013,6,30.0,21.0,9.0
Atakpamé,2013,7,29.0,20.0,9.0
Atakpamé,2013,8,30.0,21.0,9.0
Atakpamé,2013,9,30.0,21.0,9.0
Atakpamé,2013,10,32.0,21.0,11.0
Atakpamé,2013,11,34.0,22.0,12.0
Atakpamé,2013,12,34.0,22.0,12.0
Atakpamé,2014,1,35.0,22.0,13.0
Atakpamé,2014,2,35.0,23.0,12.0
Atakpamé,2014,3,34.0,22.0,12.0
Atakpamé,2014,4,34.0,23.0,11.0
Atakpamé,2014,5,32.0,23.0,9.0
Atakpamé,2014,6,31.0,22.0,9.0
Atakpamé,2014,7,30.0,21.0,9.0
Atakpamé,2014,8,28.0,21.0,7.0
Atakpamé,2014,9,30.0,21.0,9.0
Atakpamé,2014,10,32.0,21.0,11.0
Atakpamé,2014,11,33.0,22.0,11.0
Atakpamé,2014,12,34.0,22.0,12.0
Atakpamé,2015,1,33.0,22.0,11.0
Atakpamé,2015,2,36.0,23.0,13.0
Atakpamé,2015,3,34.0,23.0,11.0
Atakpamé,2015,4,33.0,23.0,10.0
Atakpamé,2015,5,33.0,23.0,10.0
Atakpamé,2015,6,31.0,21.0,10.0
Atakpamé,2015,7,30.0,21.0,9.0
Atakpamé,2015,8,29.0,21.0,8.0
Atakpamé,2015,9,30.0,21.0,9.0
Atakpamé,2015,10,31.0,22.0,9.0
Atakpamé,2015,11,33.0,22.0,11.0
Atakpamé,2015,12,33.0,22.0,11.0
Atakpamé,2016,1,34.0,23.0,11.0
Atakpamé,2016,2,36.0,24.0,12.0
Atakpamé,2016,3,36.0,23.0,13.0
Atakpamé,2016,4,34.0,23.0,11.0
Atakpamé,2016,5,33.0,24.0,9.0
Atakpamé,2016,6,30.0,22.0,8.0
Atakpamé,2016,7,29.0,22.0,7.0
Atakpamé,2016,8,29.0,22.0,7.0
Atakpamé,2016,9,30.0,22.0,8.0
Atakpamé,2016,10,31.0,22.0,9.0
Atakpamé,2016,11,34.0,23.0,11.0
Atakpamé,2016,12,34.0,27.0,7.0
Atakpamé,2017,1,34.0,23.0,11.0
Atakpamé,2017,2,36.0,24.0,12.0
Atakpamé,2017,3,36.0,24.0,12.0
Atakpamé,2017,4,34.0,23.0,11.0
Atakpamé,2017,5,33.0,23.0,10.0
Atakpamé,2017,6,31.0,22.0,9.0
Atakpamé,2017,7,29.0,22.0,7.0
Atakpamé,2017,8,28.0,21.0,7.0
Atakpamé,2017,9,29.0,21.0,8.0
Atakpamé,2017,10,32.0,22.0,10.0
Atakpamé,2017,11,34.0,22.0,12.0
Atakpamé,2017,12,34.0,23.0,11.0
Atakpamé,2018,1,33.0,23.0,10.0
Atakpamé,2018,2,35.0,24.0,11.0
Atakpamé,2018,3,34.0,23.0,11.0
Atakpamé,2018,4,33.0,23.0,10.0
Atakpamé,2018,5,32.0,22.0,10.0
Atakpamé,2018,6,30.0,22.0,8.0
Atakpamé,2018,7,29.0,22.0,7.0
Atakpamé,2018,8,29.0,21.0,8.0
Atakpamé,2018,9,30.0,22.0,8.0
Atakpamé,2018,10,31.0,22.0,9.0
Atakpamé,2018,11,33.0,23.0,10.0
Atakpamé,2018,12,33.0,23.0,10.0
Atakpamé,2019,1,35.0,23.0,12.0
Atakpamé,2019,2,36.0,24.0,12.0
Atakpamé,2019,3,35.0,24.0,11.0
Atakpamé,2019,4,34.0,23.0,11.0
Atakpamé,2019,5,32.0,23.0,9.0
Atakpamé,2019,6,31.0,22.0,9.0
Atakpamé,2019,7,30.0,23.0,7.0
Atakpamé,2019,8,29.0,21.0,8.0
Atakpamé,2019,9,30.0,22.0,8.0
Atakpamé,2019,10,30.0,22.0,8.0
Atakpamé,2019,11,33.0,23.0,10.0
Atakpamé,2019,12,34.0,23.0,11.0
Dapaong,2013,1,34.0,21.0,13.0
Dapaong,2013,2,34.0,24.0,10.0
Dapaong,2013,3,39.0,26.0,13.0
Dapaong,2013,4,36.0,25.0,11.0
Dapaong,2013,5,35.0,24.0,11.0
Dapaong,2013,6,32.0,23.0,9.0
Dapaong,2013,7,30.0,22.0,8.0
Dapaong,2013,8,29.0,21.0,8.0
Dapaong,2013,9,30.0,21.0,9.0
Dapaong,2013,10,34.0,22.0,12.0
Dapaong,2013,11,37.0,23.0,14.0
Dapaong,2013,12,34.0,21.0,13.0
Dapaong,2014,1,35.0,22.0,13.0
Dapaong,2014,2,37.0,24.0,13.0
Dapaong,2014,3,38.0,25.0,13.0
Dapaong,2014,4,37.0,25.0,12.0
Dapaong,2014,5,35.0,25.0,10.0
Dapaong,2014,6,33.0,23.0,10.0
Dapaong,2014,7,31.0,23.0,8.0
Dapaong,2014,8,30.0,22.0,8.0
Dapaong,2014,9,30.0,21.0,9.0
Dapaong,2014,10,33.0,22.0,11.0
Dapaong,2014,11,36.0,23.0,13.0
Dapaong,2014,12,35.0,21.0,14.0
Dapaong,2015,1,33.0,19.0,14.0
Dapaong,2015,2,38.0,24.0,14.0
Dapaong,2015,3,38.0,26.0,12.0
Dapaong,2015,4,39.0,27.0,12.0
Dapaong,2015,5,38.0,26.0,12.0
Dapaong,2015,6,34.0,24.0,10.0
Dapaong,2015,7,32.0,23.0,9.0
Dapaong,2015,8,30.0,22.0,8.0
Dapaong,2015,9,31.0,22.0,9.0
Dapaong,2015,10,33.0,23.0,10.0
Dapaong,2015,11,36.0,23.0,13.0
Dapaong,2015,12,32.0,19.0,13.0
Dapaong,2016,1,34.0,21.0,13.0
Dapaong,2016,2,36.0,23.0,13.0
Dapaong,2016,3,38.0,26.0,12.0
Dapaong,2016,4,38.0,27.0,11.0
Dapaong,2016,5,36.0,25.0,11.0
Dapaong,2016,6,32.0,24.0,8.0
Dapaong,2016,7,30.0,22.0,8.0
Dapaong,2016,8,30.0,22.0,8.0
Dapaong,2016,9,31.0,21.0,10.0
Dapaong,2016,10,34.0,23.0,11.0
Dapaong,2016,11,37.0,24.0,13.0
Dapaong,2016,12,37.0,23.0,14.0
Dapaong,2017,1,35.0,22.0,13.0
Dapaong,2017,2,37.0,23.0,14.0
Dapaong,2017,3,40.0,26.0,14.0
Dapaong,2017,4,39.0,26.0,13.0
Dapaong,2017,5,35.0,24.0,11.0
Dapaong,2017,6,32.0,23.0,9.0
Dapaong,2017,7,30.0,22.0,8.0
Dapaong,2017,8,30.0,22.0,8.0
Dapaong,2017,9,31.0,22.0,9.0
Dapaong,2017,10,34.0,22.0,12.0
Dapaong,2017,11,37.0,22.0,15.0
Dapaong,2017,12,35.0,22.0,13.0
Dapaong,2018,1,33.0,20.0,13.0
Dapaong,2018,2,37.0,24.0,13.0
Dapaong,2018,3,39.0,26.0,13.0
Dapaong,2018,4,39.0,27.0,12.0
Dapaong,2018,5,36.0,25.0,11.0
Dapaong,2018,6,32.0,23.0,9.0
Dapaong,2018,7,30.0,22.0,8.0
Dapaong,2018,8,30.0,22.0,8.0
Dapaong,2018,9,31.0,22.0,9.0
Dapaong,2018,10,34.0,22.0,12.0
Dapaong,2018,11,37.0,23.0,14.0
Dapaong,2018,12,34.0,21.0,13.0
Dapaong,2019,1,35.0,21.0,14.0
Dapaong,2019,2,36.0,23.0,13.0
Dapaong,2019,3,39.0,26.0,13.0
Dapaong,2019,4,39.0,27.0,12.0
Dapaong,2019,5,36.0,26.0,10.0
Dapaong,2019,6,33.0,23.0,10.0
Dapaong,2019,7,31.0,22.0,9.0
Dapaong,2019,8,30.0,22.0,8.0
Dapaong,2019,9,31.0,22.0,9.0
Dapaong,2019,10,32.0,22.0,10.0
Dapaong,2019,11,37.0,23.0,14.0
Dapaong,2019,12,35.0,21.0,14.0
Kara,2013,1,36.0,19.0,17.0
Kara,2013,2,38.0,21.0,17.0
Kara,2013,3,37.0,25.0,12.0
Kara,2013,4,36.0,24.0,12.0
Kara,2013,5,34.0,24.0,10.0
Kara,2013,6,32.0,22.0,10.0
Kara,2013,7,31.0,22.0,9.0
Kara,2013,8,30.0,22.0,8.0
Kara,2013,9,30.0,21.0,9.0
Kara,2013,10,33.0,21.0,12.0
Kara,2013,11,35.0,20.0,15.0
Kara,2013,12,35.0,18.0,17.0
Kara,2014,1,39.0,22.0,17.0
Kara,2014,2,37.0,22.0,15.0
Kara,2014,3,36.0,24.0,12.0
Kara,2014,4,35.0,24.0,11.0
Kara,2014,5,34.0,23.0,11.0
Kara,2014,6,33.0,23.0,10.0
Kara,2014,7,31.0,23.0,8.0
Kara,2014,8,29.0,22.0,7.0
Kara,2014,9,31.0,22.0,9.0
