ville,lat,lon,region,prefecture,t_max,t_min,amplitude,stress_thermique
Lomé,6.1725,1.2314,Maritime,Golfe,32.29761904761905,24.785714285714285,7.511904761904766,0.4972273567467659
Tabligbo,6.5836,1.5019,Maritime,Yoto,33.94047619047619,23.38095238095238,10.55952380952381,0.7523105360443623
Kouma konda,6.95,0.5833,Plateaux,Kloto,29.095238095238095,20.702380952380953,8.392857142857142,0.0
Atakpamé,7.5333,1.1333,Plateaux,Ogou,32.273809523809526,22.357142857142858,9.916666666666668,0.49353049907578594
Sotouboua,8.5667,0.9833,Centrale,Sotouboua,33.166666666666664,21.392857142857142,11.773809523809522,0.6321626617375229
Sokodé,8.9833,1.1333,Centrale,Tchaoudjo,33.273809523809526,21.583333333333332,11.690476190476193,0.6487985212569319
Kara,9.5511,1.1861,Kara,Kozah,34.26190476190476,21.738095238095237,12.523809523809522,0.8022181146025875
Niamtougou,9.7667,1.1,Kara,Doufelgou,32.726190476190474,20.928571428571427,11.797619047619047,0.5637707948243991
Mango,10.3592,0.4711,Savanes,Oti,35.535714285714285,23.404761904761905,12.13095238095238,1.0
Dapaong,10.8622,0.2072,Savanes,Tône,34.30952380952381,23.083333333333332,11.226190476190478,0.8096118299445474
